acks;aveLatency;batchSize;batchSizeAvg;maxLatency;partitions;publishRate;recPerReqAvg;recSendRate;reqLatAvg;reqLatMax;sentMessages;parti;rate;batchesRation;rm1;rm2;rm3;rm4;rm5;rm6;rm7;rm8;rm9;rm10;rm11;rm12;rm13;rm14;rm15;rm16;rm17;rm18;rm19;rm20;tm1;tm2;tm3;tm4;tm5;tm6;tm7;tm8;tm9;tm10;tm11;tm12;tm13;tm14;tm15;tm16;tm17;tm18;tm19;tm20;rate_min;rate_max;rate_avg;thro_min;thro_max;thro_avg
0;1093.25;524288;523535.55;1776.75;1;0.32;502.92;89106.27;;;28709882;part=1;rate=50000;99.85648155212402;107312.5;112256.16;110858.04;108477.41;106431.13;103346.88;98484.65;89330.44;89196.33;89229.82;89296.9;89229.91;89263.21;89229.61;89162.27;89263.02;89296.73000000001;89162.67;89330.54999999999;89261.14;104.79;109.63;108.25999999999999;105.94;103.95;100.92999999999999;96.18;87.24;87.11;87.13;87.21;87.14;87.17;87.14;87.07;87.18;87.21;87.07;87.24000000000001;87.18;89162.27;112256.16;95370.96849999999;87.07;109.63;93.13850000000002
1;1158.19;524288;523563.61;1743.25;1;0.41;502.95;89133.25;32.69;285.5;29497003;part=1;rate=50000;99.8618335723877;107867.14;113137.76;111998.07;110355.08;109047.17;108343.12;105962.18;104245.25;101200.8;94024.93;89162.86;89129.35;89263.38;89262.98;89195.95999999999;89159.91;89128.98;89263.26000000001;89095.77;89229.73000000001;105.33;110.48;109.38;107.76;106.49000000000001;105.79;103.48;101.8;98.83;91.82;87.06;87.03999999999999;87.17;87.17;87.11;87.07;87.04;87.17;87.00999999999999;87.14;89095.77;113137.76;97903.68400000001;87.00999999999999;110.48;95.607
1;919.04;524288;111039.32;9181.25;10;0.3;241.43;88812.65;29.58;235.5;27495627;part=10;rate=50000;21.17906951904297;102397.09;105912.51999999999;101833.8;91653.07;89283.32;88887.13;89048.97;88871.24;89181.97;89091.58;89040.13;89120.22;89073.78;89096.85;89051.91;89001.61;111665.68000000001;88992.47;89019.41;89034.47;99.98;103.43;99.44;89.51;87.2;86.81;86.96000000000001;86.78;87.09;87.00999999999999;86.95;87.03;86.99000000000001;87.00999999999999;86.96000000000001;86.92;87.11;86.9;86.94;86.95;88871.24;111665.68000000001;92462.86099999999;86.78;103.43;89.19850000000001
all;935.97;524288;169448.3;9178.0;10;0.31;364.68;81663.13;95.8;475.5;25133838;part=10;rate=50000;32.319698333740234;79422.34;85473.5;82555.03;85057.78;83477.11;84380.45;87223.59;85560.83;84346.02;80884.27;85251.93;80759.94;82812.72;82641.34;85403.17;82358.52;79575.81;84657.08;84477.93;82936.93;77.55;83.46000000000001;80.62;83.07;81.52;82.4;85.18;83.55;82.37;78.99;83.25;78.87;80.87;80.71000000000001;83.39;80.43;77.72;82.67;82.5;80.99000000000001;79422.34;87223.59;83462.81450000001;77.55;85.18;81.50550000000001
all;1728.82;524288;523575.76;3052.25;1;0.32;502.95;56322.77;56.42;517.25;16819058;part=1;rate=50000;99.86415100097656;46671.3;60755.14;56166.72;57172.62;56785.89;57018.6;58011.07;52981.270000000004;56736.93;52578.85;58916.49;52511.68;56736.92;58312.979999999996;54523.68;55496.11;49560.88;59788.41;54825.68;59117.95;45.57;59.34;54.85;55.83;55.45;55.68;56.65;51.739999999999995;55.41;51.35;57.54;51.28;55.4;56.94;53.25;54.2;48.4;58.39;53.54;57.730000000000004;46671.3;60755.14;55733.45850000001;45.57;59.34;54.427
all;1334.33;262144;261287.44;2349.75;1;0.38;251.0;80827.52;28.51;251.0;24295801;part=1;rate=50000;99.67324829101562;74239.87;75425.7;76285.14;83028.52;79079.55;79765.45999999999;83078.77;80083.72;83045.38;82944.79000000001;80150.68000000001;81639.82;82292.47;80568.94;83998.99;79999.94;80652.26;83329.69;81104.37;81238.54000000001;72.5;73.64999999999999;74.5;81.08;77.23;77.9;81.14;78.2;81.09;81.0;78.27;79.73;80.36;78.68;82.03;78.12;78.75999999999999;81.38;79.19;79.34;74239.87;83998.99;80597.63;72.5;82.03;78.7075
all;1073.81;262144;118740.48;6595.25;10;0.29;302.58;81141.19;81.89;447.75;24668764;part=10;rate=50000;45.2958984375;77853.51999999999;81787.20000000001;83635.19;83541.28;84763.79000000001;84089.78;83909.65;81461.03;83913.56;84224.86;78055.4;74118.83;80300.68;81316.91;81830.01000000001;83753.73;78884.63;84727.32999999999;83427.48;82930.66;76.02;79.87;81.68;81.58;82.78;82.11;81.94;79.56;81.96;82.25;76.22;72.39;78.41999999999999;79.41;79.91;81.8;77.03999999999999;82.74;81.47;80.99000000000001;74118.83;84763.79000000001;81926.27599999998;72.39;82.78;80.007
all;1219.54;32768;15356.88;9709.25;10;0.31;43.66;72390.94;22.15;179.25;22768044;part=10;rate=50000;46.865478515625;69961.13;78751.98;77637.16;79022.06;76300.05;77481.54000000001;74742.35;77121.32;72442.38;76036.52;73278.89;76072.89;76667.42;75938.83;77391.06999999999;78982.51000000001;78785.53;76782.92;77938.09;79749.14;68.32;93.31;75.82;77.17;74.51;75.67;72.99000000000001;75.32;70.75;74.26;71.55;74.28999999999999;74.87;74.16;75.58;77.13;57.75;74.99;76.1;77.88;69961.13;79749.14;76554.189;57.75;93.31;74.62099999999998
all;1888.22;32768;32300.4;3490.0;1;0.32;31.0;54810.46;10.35;175.0;17151082;part=1;rate=50000;98.572998046875;52543.96;53861.18;58629.67;55817.11;57939.490000000005;56222.1;58297.05;55953.53;57567.479999999996;57945.770000000004;55343.350000000006;59464.65;56616.88;58788.96;55542.21;58712.36;55626.68000000001;58784.8;55329.380000000005;57912.68;51.31999999999999;52.61;57.260000000000005;54.5;56.59;54.900000000000006;56.93;54.64;56.22;56.59;54.05;58.08;55.28;57.41;54.239999999999995;57.34;54.32;57.41;54.04;56.56;52543.96;59464.65;56844.96449999999;51.31999999999999;58.08;55.5145
all;3273.95;16384;15660.83;4925.25;1;0.3;15.0;30134.77;9.46;89.0;9505272;part=1;rate=50000;95.58612060546875;25339.49;31910.95;31751.04;32056.1;31762.04;31357.14;31420.030000000002;31982.89;30928.12;31677.1;31741.16;31779.379999999997;31507.24;31933.14;32099.1;31447.15;31419.089999999997;31980.12;31568.280000000002;31790.22;24.75;31.17;31.0;31.299999999999997;31.02;30.62;30.68;31.240000000000002;30.2;30.93;30.990000000000002;31.03;30.770000000000003;31.18;31.35;30.71;30.68;31.220000000000002;30.83;31.05;25339.49;32099.1;31372.488999999994;24.75;31.35;30.636000000000003
